Year,Rape cases in school premises - Cases reported,Rape cases in school premises - Cases worked out,Rape cases in school premises - Person arrested,Rape cases in school Vans - Cases reported,Rape cases in school Vans - Cases worked out,Rape cases in school Vans - Person arrested,Sodomy cases in school premises - Cases reported,Sodomy cases in school premises - Cases worked out,Sodomy cases in school premises - Person arrested
2014,4,4,4,6,6,7,1,1,1
2015,1,1,1,0,0,0,1,1,1
2016,2,2,2,1,1,1,0,0,0
2017 (upto 15.12.17),3,3,6,1,1,1,8,7,8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
